role,text
Data Scientist,"python machine learning statistics pandas numpy scikit learn tensorflow data visualization sql experimentation feature engineering predictive modeling"
Data Scientist,"classification regression clustering notebook analysis model evaluation data cleaning matplotlib seaborn probability business insights"
Data Scientist,"built churn prediction model using logistic regression random forest xgboost pandas sklearn sql dashboards experiment tracking"
Data Scientist,"analyzed customer behavior with python scipy statistics hypothesis testing a b testing tableau machine learning pipelines"
Data Scientist,"created forecasting models time series feature engineering cross validation model interpretation shap business recommendations"
Data Scientist,"nlp sentiment analysis embeddings text classification python pandas sklearn model metrics precision recall f1"
Machine Learning Engineer,"ml pipelines model deployment feature stores pytorch tensorflow docker kubernetes monitoring inference api model optimization"
Machine Learning Engineer,"python sklearn deep learning production mlops ci cd model registry embeddings vector search batch training"
Machine Learning Engineer,"deployed real time inference services with fastapi docker kubernetes aws model monitoring latency optimization"
Machine Learning Engineer,"trained computer vision models using pytorch transfer learning gpu distributed training experiment tracking"
Machine Learning Engineer,"built recommender systems embeddings vector database feature pipelines airflow batch inference online inference"
Machine Learning Engineer,"productionized machine learning models with ci cd tests data validation drift monitoring cloud infrastructure"
Software Engineer,"python java javascript api backend frontend databases git testing design patterns microservices cloud agile development"
Software Engineer,"rest api flask django react node sql nosql unit tests system design distributed services clean code"
Software Engineer,"implemented backend services with java spring boot postgresql redis docker rest api microservices observability"
Software Engineer,"developed full stack features using react typescript node express mysql unit testing integration testing"
Software Engineer,"built scalable APIs authentication authorization cloud deployment github actions agile scrum code reviews"
Software Engineer,"designed data models optimized sql queries wrote automated tests maintained production web applications"
DevOps Engineer,"docker kubernetes linux ci cd terraform ansible aws azure monitoring logging security networking automation"
DevOps Engineer,"cloud infrastructure pipelines containers shell scripting observability deployment release management nginx load balancing"
DevOps Engineer,"managed aws infrastructure with terraform ecs eks cloudwatch github actions blue green deployments"
DevOps Engineer,"implemented ci cd pipelines docker image builds kubernetes helm monitoring prometheus grafana incident response"
DevOps Engineer,"automated linux server provisioning ansible bash networking firewalls ssl nginx reliability"
DevOps Engineer,"improved deployment frequency rollback safety infrastructure as code security scanning secrets management"
Data Analyst,"sql excel tableau power bi dashboards reporting analytics data cleaning business intelligence kpi visualization"
Data Analyst,"statistics spreadsheets etl stakeholder reporting exploratory analysis database queries metrics insights"
Data Analyst,"created executive dashboards with power bi sql data modeling dax revenue cohort analysis"
Data Analyst,"cleaned sales data using excel python pandas generated kpi reports presented insights to stakeholders"
Data Analyst,"built tableau dashboards performed ad hoc analysis funnel analysis retention metrics business intelligence"
Data Analyst,"wrote complex sql joins window functions validated data quality automated recurring reports"
Cybersecurity Analyst,"security risk vulnerability assessment incident response siem threat detection network security compliance penetration testing"
Cybersecurity Analyst,"firewalls ids ips malware analysis soc alerts encryption identity access audit forensic investigation"
Cybersecurity Analyst,"monitored splunk alerts triaged incidents performed phishing analysis endpoint security threat intelligence"
Cybersecurity Analyst,"conducted vulnerability scans nessus remediation tracking compliance iso soc2 risk assessment"
Cybersecurity Analyst,"performed penetration testing web application security owasp burp suite network scanning reports"
Cybersecurity Analyst,"managed identity access controls security policies cloud security incident documentation"
Product Manager,"roadmap user research requirements prioritization stakeholder communication metrics product strategy agile backlog go to market"
Product Manager,"customer discovery feature planning analytics experiments sprint planning documentation cross functional leadership"
Product Manager,"defined product requirements wrote user stories prioritized backlog coordinated engineering design sales"
Product Manager,"launched b2b saas features analyzed adoption metrics retention conversion customer interviews"
Product Manager,"owned roadmap okrs competitive research pricing experiments go to market release planning"
Product Manager,"managed agile ceremonies stakeholder alignment product analytics jira figma requirements documentation"
